name,start_date,year,counties,acres,last_updated,date_started,date_contained,cause,destroyed,fatalities,lat,lon
Lone Fire,2013-06-03,2013,Butte,298.0,06/03/13 8:00 PM,06/03/13 1:49 PM,06/03/13 8:00PM,Unknown,9,0,39.434183,-121.576804
152 Fire,2013-06-04,2013,Merced,124.0,06/05/13 8:30 AM,06/04/13 3:42 PM,06/05/13 8:30AM,Unknown,0,0,37.03776,-121.006939
Lake Fire,2013-06-05,2013,Lake,30.0,06/06/13 7:00 AM,06/05/13 4:05 PM,06/06/13 7:00AM,Unknown,0,0,38.99233,-122.703193
Vasco Fire,2013-06-08,2013,Alameda,240.0,06/08/13 1:25 PM,06/08/13 10:16 AM,06/08/13 1:25PM,Unknown,0,0,37.775057,-121.737213
Viper Fire,2013-06-08,2013,Riverside,42.0,06/08/13 7:00 PM,06/08/13 3:37 PM,06/08/13 7:00PM,Unknown,0,0,33.96936,-117.1265
Hathaway Fire,2013-06-09,2013,Riverside,,06/09/13 4:45 PM,06/09/13 12:30 PM,06/09/13 4:45PM,Unknown,0,0,33.99647,-116.84137
Sonoma-Lake-Napa Unit Lightning Fires,2013-06-09,2013,"Sonoma, Solano, Lake and Colusa",28.0,06/14/13 3:45 PM,06/10/13 12:46 AM,06/14/13 3:45PM,Lightning,0,0,38.4229,-122.0437
Northern California Lightning Activity,2013-06-09,2013,,60.0,06/14/13 4:30 PM,06/10/13 12:46 AM,06/14/13 4:30PM,Unknown,0,0,39.9845,-121.5747
Daves Fire,2013-06-12,2013,Glenn,226.0,06/17/13 9:00 AM,06/12/13 3:17 PM,06/17/13 9:00AM,Unknown,0,0,,
Revis Fire,2013-06-12,2013,Madera,75.0,06/14/13 4:30 PM,06/12/13 4:40 PM,06/14/13 4:30PM,Unknown,0,0,37.169379,-119.75636
Roadrunner Fire,2013-06-12,2013,Amador,96.0,06/13/13 9:45 AM,06/12/13 4:43 PM,06/13/13 9:45AM,Unknown,0,0,38.27783,-120.966016
PFE Fire,2013-06-13,2013,Placer,237.0,06/13/13 2:15 PM,06/13/13 11:28 AM,06/13/13 2:15PM,Unknown,0,0,38.729297,-121.380862
Clinton Fire,2013-06-13,2013,Fresno,108.0,06/13/13 9:30 PM,06/13/13 11:54 AM,06/13/13 9:30PM,Unknown,0,0,36.772425,-119.628389
Michelle Fire,2013-06-13,2013,Fresno,35.0,06/13/13 9:30 PM,06/13/13 3:54 PM,06/13/13 9:30PM,Unknown,0,0,36.763367,-119.558244
Palmyrita Fire,2013-06-14,2013,Riverside,40.0,06/15/13 8:00 AM,06/14/13 1:47 PM,06/15/13 8:00AM,Unknown,0,0,34.001745,-117.302057
Carstens Fire,2013-06-16,2013,Mariposa,1708.0,06/26/13 11:15 AM,06/16/13 2:12 PM,06/26/13 11:15AM,Campfire,0,0,37.58202,-119.91071
Rolling Fire,2013-06-16,2013,Madera,482.0,06/18/13 7:30 PM,06/16/13 6:17 PM,06/18/13 7:30PM,Under Investigation,0,0,37.015575,-119.78106
Sierra Fire,2013-06-17,2013,Fresno,46.0,06/19/13 8:45 AM,06/17/13 2:41 PM,06/19/13 8:45AM,Unknown,0,0,37.03087,-119.463757
California Fire,2013-06-18,2013,Solano,124.0,06/18/13 10:30 PM,06/18/13 3:18 PM,06/18/13 10:30PM,Unknown,0,0,38.08744,-122.13802
Mount Fire,2013-06-20,2013,Lake,25.0,06/20/13 1:15 PM,06/20/13 2:29 PM,06/20/13 1:15PM,Unknown,0,0,38.98058,-122.81796
George Fire,2013-06-25,2013,Fresno,150.0,06/25/13 5:15 PM,06/25/13 1:36 PM,06/25/13 5:15PM,Unknown,0,0,36.7218,-119.2248
Mills Fire,2013-06-28,2013,San Bernardino,534.0,07/01/13 6:00 AM,06/28/13 2:30 PM,07/01/13 6:00AM,Arson,0,0,34.071556,-117.048397
Freeman Fire,2013-06-29,2013,Monterey,105.0,06/29/13 6:30 PM,06/29/13 2:09 PM,06/29/13 6:30PM,Unknown,0,0,36.1531,-120.8973
Kirker Fire,2013-07-01,2013,Contra Costa,492.0,07/01/13 6:40 PM,07/01/13 1:19 PM,07/01/13 6:40PM,Unknown,0,0,37.96866,-121.91453
Concord Fire,2013-07-01,2013,Contra Costa,274.0,07/01/13 6:30 PM,07/01/13 3:41 PM,07/01/13 6:30PM,Unknown,0,0,39.90465,-121.74367
Northern Region July Lightning,2013-07-02,2013,,754.0,07/04/13 10:45 AM,07/02/13 12:00 PM,07/04/13 10:45AM,Unknown,0,0,39.9845,-121.5747
Fox Fire (formally 3-7 Fire),2013-07-03,2013,Modoc,502.0,07/05/13 6:30 PM,07/03/13 10:56 PM,07/05/13 6:30PM,Unknown,0,0,41.2415,-121.035
Vina Fire,2013-07-04,2013,Tehama,200.0,07/04/13 10:30 AM,07/04/13 7:30 AM,07/04/13 10:30AM,Unknown,0,0,40.012398,-122.079871
Grant Fire,2013-07-04,2013,Alameda,50.0,07/04/13 11:30 AM,07/04/13 10:00 AM,07/04/13 11:30AM,Unknown,0,0,37.7393,-121.5869
Chariot Fire,2013-07-06,2013,San Diego,7055.0,07/15/13 6:15 AM,07/06/13 12:55 PM,07/15/13 6:15AM,Under Investigation,149,0,32.95435,-116.47381
Fallon Fire,2013-07-06,2013,Alameda,38.0,07/06/13 2:30 PM,07/06/13 1:09 PM,07/06/13 2:30PM,Unknown,0,0,37.74241,-121.86216
Adelaida Fire,2013-07-07,2013,San Luis Obispo,85.0,07/07/13 10:00 PM,07/07/13 1:16 PM,07/07/13 10:00PM,Unknown,0,0,35.62743,-120.83417
McGanney Fire,2013-07-08,2013,Yuba,73.0,07/08/13 5:30 PM,07/08/13 9:59 AM,07/08/13 5:30PM,Unknown,0,0,39.206,-121.31634
Kyburz Fire,2013-07-08,2013,El Dorado,572.0,07/11/13 6:30 PM,07/08/13 12:45 PM,07/11/13 6:30PM,Unknown,0,0,38.774,-120.298
Fiddler Fire,2013-07-09,2013,Shasta,43.0,07/09/13 3:00 PM,07/09/13 11:59 AM,07/09/13 3:00PM,Unknown,0,0,40.373,-122.7338
Uvas Fire,2013-07-12,2013,Santa Clara,50.0,07/12/13 5:45 PM,07/12/13 1:09 PM,07/12/13 5:45PM,Unknown,0,0,37.1438,-121.7804
Diablo Fire,2013-07-12,2013,Stanislaus,150.0,07/13/13 9:45 PM,07/12/13 3:35 PM,07/13/13 9:45PM,Unknown,0,0,37.436,-121.1955
Mountain Fire,2013-07-15,2013,Riverside,27531.0,07/30/13 6:00 PM,07/15/13 1:43 PM,07/30/13 6:00PM,Unknown,0,0,33.7095,-116.72885
Redlands Fire,2013-07-16,2013,Riverside,150.0,07/17/13 7:45 AM,07/16/13 5:48 PM,07/17/13 7:45AM,Unknown,0,0,33.990128,-117.164997
Tassajara Fire,2013-07-17,2013,Monterey,213.0,07/17/13 7:30 PM,07/17/13 1:23 PM,07/17/13 7:30PM,Unknown,0,0,,
Rancho Fire,2013-07-19,2013,Kern,712.0,07/22/13 6:45 PM,07/19/13 12:00 PM,07/22/13 6:45PM,Unknown,0,0,34.882,-118.9194
Paskenta Fire,2013-07-19,2013,Tehama,195.0,07/19/13 3:00 PM,07/19/13 1:32 PM,07/19/13 3:00PM,Unknown,0,0,39.961309,-122.330879
50 Fire,2013-07-19,2013,El Dorado and Sacramento,163.0,07/19/13 5:15 PM,07/19/13 2:12 PM,07/19/13 5:15PM,Unknown,0,0,38.63987,-121.08438
Heacock Fire,2013-07-19,2013,Riverside,40.0,07/20/13 7:30 PM,07/19/13 4:21 PM,07/20/13 7:30PM,Unknown,0,0,33.9634,-117.2508
Gilman Fire,2013-07-19,2013,Riverside,15.0,07/19/13 7:30 PM,07/19/13 5:31 PM,07/19/13 7:30PM,Unknown,0,0,33.94528,-117.09306
Chuckwagon Fire,2013-07-22,2013,Calaveras,31.0,07/23/13 3:10 PM,07/22/13 12:34 PM,07/23/13 3:10PM,Unknown,0,0,37.965364,-120.696362
Aspen Fire,2013-07-22,2013,Fresno,22992.0,09/24/13 8:15 PM,07/22/13 10:15 PM,09/24/13 8:15PM,Unknown,0,0,37.279,-119.318
Water Fire,2013-07-23,2013,Kern,612.0,07/25/13 6:30 PM,07/23/13 9:15 AM,07/25/13 6:30PM,Unknown,0,0,34.90327,-118.93388
Pratt Fire,2013-07-23,2013,Mendocino,45.0,07/23/13 4:00 PM,07/23/13 1:29 PM,07/23/13 4:00PM,Unknown,0,0,38.980846,-123.067671
Silverwood Fire,2013-07-25,2013,San Bernardino,75.0,07/26/13 6:15 PM,07/25/13 3:09 PM,07/26/13 6:15PM,Unknown,0,0,34.316,-117.352
Lakeville Fire,2013-07-26,2013,Sonoma,158.0,07/26/13 5:45 PM,07/26/13 1:45 PM,07/26/13 5:45PM,Unknown,0,0,38.17693,-122.51253
Flume Fire,2013-07-28,2013,San Diego,25.0,07/28/13 5:50 PM,07/28/13 9:43 AM,07/28/13 5:50PM,Unknown,0,0,32.612773,-116.707335
Trout Fire,2013-07-31,2013,Siskiyou,40.0,07/31/13 7:25 PM,07/31/13 3:25 PM,07/31/13 7:25PM,Unknown,0,0,,
Salmon River Complex,2013-07-31,2013,Siskiyou,14754.0,08/31/13 6:45 AM,07/31/13 10:00 PM,08/31/13 6:45AM,Unknown,0,0,41.32,-123.176
Branch Fire,2013-08-01,2013,Butte,92.0,08/04/13 2:45 PM,08/01/13 4:01 PM,08/04/13 2:45PM,Bird into Power Line,0,0,39.6612,-121.50354
Orleans Complex,2013-08-03,2013,Humboldt,,08/03/13 3:00 PM,08/03/13 8:00 AM,08/03/13 3:00PM,Unknown,0,0,41.333,-123.376
Relay Fire,2013-08-04,2013,Riverside,60.0,08/04/13 6:00 PM,08/04/13 4:29 PM,08/04/13 6:00PM,Unknown,0,0,33.91027,-116.99895
Honey Fire,2013-08-04,2013,Shasta,34.0,08/05/13 8:17 AM,08/04/13 6:00 PM,08/05/13 8:17AM,Unknown,0,0,,
Power Fire,2013-08-04,2013,Tuolumne,1070.0,08/14/13 8:30 AM,08/05/13 6:00 AM,08/14/13 8:30AM,Unknown,0,0,38.25108,-120.02778
Falls Fire,2013-08-05,2013,Riverside,1383.0,08/09/13 6:45 PM,08/05/13 10:10 AM,08/09/13 6:45PM,Unknown,0,0,33.62236,-117.40288
Tram Fire,2013-08-06,2013,Riverside,60.0,08/08/13 9:00 AM,08/06/13 1:39 PM,08/08/13 9:00AM,Unknown,0,0,38.838,-116.61
Indian Fire,2013-08-07,2013,Lake,38.0,08/07/13 6:30 PM,08/07/13 12:35 PM,08/07/13 6:30PM,Unknown,0,0,39.1591,-122.5906
Silver Fire,2013-08-07,2013,Riverside,20292.0,08/12/13 6:00 PM,08/07/13 2:05 PM,08/12/13 6:00PM,Under Investigation,40,0,33.86157,-116.90427
Sharp Fire,2013-08-08,2013,San Bernardino,243.0,08/13/13 11:45 PM,08/08/13 12:15 PM,08/13/13 11:45PM,Unknown,0,0,34.35,-117.62
Coyote Fire,2013-08-09,2013,Lassen,97.0,08/12/13 9:30 AM,08/09/13 3:51 PM,08/12/13 9:30AM,Unknown,0,0,40.88886,-120.958126
Bee Fire,2013-08-09,2013,Los Angeles,100.0,08/11/13 7:15 PM,08/09/13 5:15 PM,08/11/13 7:15PM,Unknown,0,0,,
Corral Complex,2013-08-10,2013,Humboldt,12503.0,08/12/13 12:00 PM,08/10/13 11:40 AM,08/12/13 12:00PM,Unknown,0,0,41.035,-123.488
American Fire,2013-08-10,2013,Placer,27440.0,08/30/13 8:00 AM,08/10/13 4:30 PM,08/30/13 8:00AM,Unknown,0,0,39.12,-120.65
Cloverdale Fire,2013-08-14,2013,Shasta,27.0,08/14/13 8:35 PM,08/14/13 3:37 PM,08/14/13 8:35PM,Unknown,0,0,40.473356,-122.48259
Cottonwood Fire,2013-08-15,2013,Siskiyou,50.0,08/15/13 5:00 PM,08/15/13 2:40 PM,08/15/13 5:00PM,Unknown,0,0,41.923323,-122.578393
Pierce Fire,2013-08-16,2013,Riverside,40.0,08/16/13 9:00 PM,08/16/13 1:31 PM,08/16/13 9:00PM,Unknown,0,0,33.570291,-116.10815
Union Fire,2013-08-16,2013,El Dorado,116.0,08/16/13 5:55 PM,08/16/13 1:55 PM,08/16/13 5:55PM,Unknown,0,0,38.682378,-120.839075
Swedes Fire,2013-08-16,2013,Butte,2462.0,08/22/13 6:00 PM,08/16/13 4:37 PM,08/22/13 6:00PM,Under Investigation,7,0,39.446268,-121.38236
Double Fire,2013-08-16,2013,Lake,70.0,08/18/13 6:30 PM,08/16/13 5:57 PM,08/18/13 6:30PM,Unknown,0,0,39.013682,-122.491894
Bridges Fire,2013-08-17,2013,Calaveras,46.0,08/19/13 7:10 AM,08/17/13 10:11 AM,08/19/13 7:10AM,Under Investigation,0,0,38.06231,-120.45233
Rim Fire,2013-08-17,2013,Tuolumne,257314.0,09/06/13 6:30 PM,08/17/13 3:25 PM,09/06/13 6:30PM,Unknown,0,0,37.857,-120.086
Cleghorn Fire,2013-08-17,2013,San Bernardino,110.0,08/18/13 8:55 PM,08/17/13 5:25 PM,08/18/13 8:55PM,Unknown,0,0,34.287,-117.451
Plumas Lightning Complex (Hough),2013-08-18,2013,Plumas,513.0,08/25/13 1:15 PM,08/18/13 6:30 PM,08/25/13 1:15PM,Unknown,0,0,40.00842,-120.764666
Shirley Fire,2013-08-18,2013,Kern,794.0,08/24/13 1:45 PM,08/18/13 11:12 PM,08/24/13 1:45PM,Unknown,0,0,35.707,-118.588
Burney Lightning Series (Warner Fire),2013-08-19,2013,Shasta,196.0,08/23/13 7:15 PM,08/19/13 5:48 PM,08/23/13 7:15PM,Lightning,0,0,40.5445,-121.3754
Gobblers Fire,2013-08-20,2013,San Bernardino,413.0,08/20/13 1:32 PM,08/20/13 1:32 PM,08/20/13 1:32PM,Unknown,0,0,34.302,-117.598
Deer Fire,2013-08-23,2013,Tehama,11429.0,08/29/13 4:45 PM,08/23/13 2:15 PM,08/29/13 4:45PM,Under Investigation,0,0,40.04263,-121.85397
Fish Fire,2013-08-24,2013,Tulare,2060.0,09/24/13 8:15 PM,08/24/13 2:31 PM,09/24/13 8:15PM,Unknown,0,0,36.208,-118.444
Empire Fire,2013-08-24,2013,El Dorado,38.0,08/24/13 11:45 AM,08/24/13 2:54 PM,08/24/13 11:45AM,Unknown,0,0,38.89555,-120.84716
Little Fire,2013-08-24,2013,San Bernardino,97.0,08/30/13 8:00 AM,08/24/13 3:09 PM,08/30/13 8:00AM,Unknown,0,0,33.642,-116.706
Tyler Fire,2013-08-31,2013,Nevada,52.0,08/31/13 9:30 PM,08/31/13 2:42 PM,08/31/13 9:30PM,Unknown,0,0,39.333401,-121.107022
Centerville Fire,2013-08-31,2013,Butte,80.0,09/01/13 6:00 PM,08/31/13 5:23 PM,09/01/13 6:00PM,Under Investigation,0,0,39.731878,-121.713938
Davis Creek Complex,2013-09-05,2013,Modoc,97.0,09/24/13 8:15 PM,09/05/13 3:57 PM,09/24/13 8:15PM,Unknown,0,0,41.73325,-120.375
Chestnut Fire,2013-09-07,2013,San Mateo,41.0,09/07/13 8:00 PM,09/07/13 1:55 PM,09/07/13 8:00PM,Unknown,0,0,37.667295,-122.427285
Rail Fire,2013-09-07,2013,Modoc,68.0,09/05/13 9:00 PM,09/07/13 5:30 PM,09/05/13 9:00PM,Unknown,0,0,41.569,-120.959
Angora Fire,2013-09-08,2013,Tulare,134.0,09/24/13 8:15 PM,09/08/13 11:53 AM,09/24/13 8:15PM,Unknown,0,0,36.258,-118.459
