name,start_date,year,counties,acres,last_updated,date_started,date_contained,cause,destroyed,fatalities,lat,lon
Flores Fire,2016-07-01,2016,Tehama,88.0,07/01/16 5:45 PM,07/01/16 1:54 PM,07/01/16 5:45PM,Unknown,0,0,40.07846,-122.2071
Kuehner Fire,2016-07-01,2016,Ventura,45.0,07/01/16 7:50 PM,07/01/16 2:00 PM,07/01/16 7:50PM,Unknown,0,0,34.27619,-118.63264
Deer Fire,2016-07-01,2016,Kern,1785.0,07/08/16 7:00 PM,07/01/16 2:05 PM,07/08/16 7:00PM,Under Investigation,0,0,35.20993,-118.72272
Curry Fire,2016-07-01,2016,Fresno,2944.0,07/05/16 7:05 AM,07/01/16 5:16 PM,07/05/16 7:05AM,Under Investigation,0,0,36.0749,-120.452041
Appaloosa Fire,2016-07-02,2016,Calaveras,310.0,07/01/19 1:08 PM,07/02/16 2:55 PM,07/08/16 7:32PM,Unknown,0,0,38.02845,-120.61153
Broken Fire,2016-07-04,2016,Madera,103.0,07/01/19 1:08 PM,07/04/16 11:53 AM,07/06/16 8:00PM,Unknown,0,0,37.25601,-119.65776
Frame Fire,2016-07-04,2016,Fresno,145.0,07/07/16 7:00 PM,07/04/16 5:15 PM,07/07/16 7:00PM,Unknown,0,0,36.14161,-120.62048
Fort Fire,2016-07-08,2016,Kern,554.0,07/10/16 7:37 PM,07/08/16 11:15 AM,07/10/16 7:37PM,Unknown,0,0,,
Fiddler Fire,2016-07-08,2016,Shasta,441.0,07/12/16 7:00 AM,07/08/16 10:45 PM,07/12/16 7:00AM,Arson,0,0,40.36873,-122.72913
Sage Fire,2016-07-09,2016,Los Angeles,1109.0,07/16/16 12:00 PM,07/09/16 12:04 PM,07/16/16 12:00PM,Unknown,0,0,34.36763,-118.57245
Mercury Fire,2016-07-09,2016,San Benito,95.0,07/01/19 1:08 PM,07/09/16 12:43 PM,07/10/16 7:30PM,Unknown,0,0,5487.0,-120.841536
Scott Fire,2016-07-10,2016,Sacramento,87.0,07/11/16 6:35 AM,07/10/16 3:30 PM,07/11/16 6:35AM,Unknown,0,0,38.517772,-121.103642
Shelter Fire,2016-07-11,2016,Ventura,15.0,07/12/16 10:30 AM,07/11/16 12:58 PM,07/12/16 10:30AM,Unknown,0,0,33.11645,-116.58542
Big Fire,2016-07-11,2016,Fresno,188.0,07/13/16 5:30 PM,07/11/16 2:30 PM,07/13/16 5:30PM,Unknown,0,0,36.92244,-119.39619
Pacheco Fire,2016-07-12,2016,Calaveras,341.0,07/16/16 6:30 PM,07/12/16 1:14 PM,07/16/16 6:30PM,Unknown,0,0,38.08056,-120.81394
Stagecoach Fire,2016-07-12,2016,Calaveras,35.0,07/13/16 7:00 PM,07/12/16 3:19 PM,07/13/16 7:00PM,Unknown,0,0,37.96311,-120.67335
Briggs Fire,2016-07-12,2016,Riverside,173.0,07/15/16 8:00 AM,07/12/16 3:20 PM,07/15/16 8:00AM,Unknown,0,0,,
Sherwood Fire,2016-07-13,2016,Ventura,78.0,07/15/16 2:00 PM,07/13/16 3:52 PM,07/15/16 2:00PM,Unknown,0,0,36.92244,-119.39619
Onyx Fire,2016-07-13,2016,Kern,221.0,07/14/16 12:00 PM,07/13/16 5:08 PM,07/14/16 12:00PM,Unknown,0,0,35.68313,-118.21793
Dunnigan Fire,2016-07-15,2016,Yolo,84.0,07/15/16 3:40 PM,07/15/16 2:00 PM,07/15/16 3:40PM,Unknown,0,0,38.8866,-122.04726
Green Fire,2016-07-15,2016,Fresno,123.0,07/16/16 6:00 PM,07/15/16 4:45 PM,07/16/16 6:00PM,Unknown,0,0,37.0099,-119.5792
Famoso Fire,2016-07-15,2016,Kern,138.0,07/16/16 7:40 AM,07/15/16 11:55 PM,07/16/16 7:40AM,Unknown,0,0,35.60748,-118.94811
Feather Fire,2016-07-18,2016,San Diego,100.0,07/20/16 1:45 PM,07/18/16 1:08 PM,07/20/16 1:45PM,Unknown,0,0,32.9612,-116.7945
Bailey Fire,2016-07-19,2016,Siskiyou,26.0,07/20/16 9:00 AM,07/19/16 2:09 PM,07/20/16 9:00AM,Unknown,0,0,41.96191,-122.59328
Foothill Fire,2016-07-19,2016,Lake,69.0,07/22/16 6:15 PM,07/19/16 5:16 PM,07/22/16 6:15PM,Unknown,0,0,39.0863,-122.7891
Serpa Fire,2016-07-21,2016,Madera,80.0,07/25/16 7:20 PM,07/21/16 12:53 PM,07/25/16 7:20PM,Unknown,0,0,,
Baker Fire,2016-07-21,2016,Calaveras,57.0,07/22/16 7:00 PM,07/21/16 3:06 PM,07/22/16 7:00PM,Equipment,0,0,37.98171,-120.64241
Roblar Fire,2016-07-21,2016,San Diego,1245.0,07/30/16 2:15 PM,07/21/16 4:06 PM,07/30/16 2:15PM,Unknown,0,0,33.393,-117.35093
Table Fire,2016-07-21,2016,Siskiyou,23.0,07/22/16 12:00 PM,07/21/16 8:30 PM,07/22/16 12:00PM,Unknown,0,0,41.71847,-122.36924
Soberanes Fire,2016-07-22,2016,Monterey,132127.0,10/13/16 11:30 AM,07/22/16 8:48 AM,10/13/16 11:30AM,Unknown,0,0,36.45994,-121.89938
Oak Fire,2016-07-22,2016,Solano,57.0,07/22/16 4:07 PM,07/22/16 1:01 PM,07/22/16 4:07PM,Unknown,0,0,38.33475,-122.02564
Storksbill Fire,2016-07-22,2016,El Dorado,50.0,07/23/16 6:00 PM,07/22/16 1:15 PM,07/23/16 6:00PM,Unknown,0,0,38.79549,-121.00299
Sand Fire,2016-07-22,2016,Los Angeles,,08/09/16 5:15 PM,07/22/16 2:11 PM,08/09/16 5:15PM,Unknown,0,0,,
Rock Fire,2016-07-22,2016,San Diego,28.0,07/24/16 2:30 PM,07/22/16 2:47 PM,07/24/16 2:30PM,Unknown,0,0,33.00056,-116.9571
Bradley Fire,2016-07-22,2016,Monterey,100.0,07/23/16 8:45 AM,07/22/16 3:15 PM,07/23/16 8:45AM,Unknown,0,0,35.85093,-120.81081
Franklin Fire,2016-07-24,2016,Contra Costa,40.0,07/24/16 7:00 PM,07/24/16 4:30 PM,07/24/16 7:00PM,Unknown,0,0,38.01264,-122.1885
Collier Fire,2016-07-25,2016,Tehama,11.0,07/26/16 7:25 PM,07/25/16 4:55 PM,07/26/16 7:25PM,Unknown,0,0,,
Neal Fire,2016-07-28,2016,Butte,35.0,07/29/16 3:10 PM,07/28/16 2:27 PM,07/29/16 3:10PM,Unknown,0,0,,
North Branch Extension Fire,2016-07-29,2016,Lake,25.0,07/31/16 6:50 PM,07/29/16 2:55 PM,07/31/16 6:50PM,Unknown,0,0,,
Fork Fire,2016-07-29,2016,Madera,38.0,07/31/16 6:55 PM,07/29/16 5:55 PM,07/31/16 6:55PM,Unknown,0,0,37.24006,-119.4741
Dockery Fire,2016-07-30,2016,Lassen,42.0,08/01/16 7:40 PM,07/30/16 4:25 PM,08/01/16 7:40PM,Unknown,0,0,,
Goose Fire,2016-07-30,2016,Fresno,2241.0,08/09/16 6:30 PM,07/30/16 4:40 PM,08/09/16 6:30PM,Under Investigation,4,0,37.01591,-119.50507
Frymire Fire,2016-07-30,2016,Tuolumne,32.0,08/01/16 8:05 AM,07/30/16 5:25 PM,08/01/16 8:05AM,Unknown,0,0,37.81434,-120.69521
Sierra Fire,2016-07-30,2016,Santa Clara,114.0,07/31/16 6:30 PM,07/30/16 5:25 PM,07/31/16 6:30PM,Unknown,0,0,37.41896,-121.79669
99 Fire,2016-08-02,2016,Butte,550.0,08/03/16 8:00 AM,08/02/16 2:35 PM,08/03/16 8:00AM,Unknown,0,0,39.6708,-121.7192
Cold Fire,2016-08-02,2016,Yolo,5731.0,08/12/16 3:00 PM,08/02/16 4:36 PM,08/12/16 3:00PM,Under Investigation,2,0,38.52513,-122.06788
Diablo Fire,2016-08-03,2016,Stanislaus,100.0,08/04/16 7:45 AM,08/03/16 4:08 PM,08/04/16 7:45AM,Unknown,0,0,,
Baker Fire,2016-08-03,2016,Tehama,80.0,08/04/16 7:50 AM,08/03/16 5:27 PM,08/04/16 7:50AM,Unknown,0,0,40.19611,-122.26736
Clark Fire,2016-08-04,2016,Mono,2819.0,07/01/19 1:08 PM,08/04/16 2:09 PM,08/07/16 7:14PM,Unknown,0,0,,
Grub Fire,2016-08-04,2016,Madera,85.0,08/06/16 7:50 PM,08/04/16 2:13 PM,08/06/16 7:50PM,Unknown,0,0,37.3228,-119.7738
Maze Fire,2016-08-04,2016,Stanislaus,140.0,08/04/16 8:00 PM,08/04/16 3:45 PM,08/04/16 8:00PM,Unknown,0,0,,
Hart Fire,2016-08-04,2016,Kern,100.0,08/07/16 8:15 PM,08/04/16 5:10 PM,08/07/16 8:15PM,Unknown,0,0,35.24504,-118.60344
Deer Fire,2016-08-05,2016,Amador,26.0,08/06/16 10:06 AM,08/05/16 1:49 PM,08/06/16 10:06AM,Unknown,0,0,38.2581,-120.8657
Rock Creek Fire,2016-08-05,2016,Mono,122.0,08/07/16 7:33 PM,08/05/16 3:45 PM,08/07/16 7:33PM,Unknown,0,0,,
Alder Fire,2016-08-06,2016,El Dorado,25.0,08/07/16 7:18 PM,08/06/16 3:00 PM,08/07/16 7:18PM,Unknown,0,0,,
Pilot Fire,2016-08-07,2016,San Bernardino,8110.0,08/16/16 8:00 AM,08/07/16 12:18 PM,08/16/16 8:00AM,Under Investigation,0,0,34.28771,-117.27338
Mountain Fire,2016-08-09,2016,Shasta,35.0,08/10/16 5:00 PM,08/09/16 12:14 PM,08/10/16 5:00PM,Unknown,0,0,40.61213,-122.47091
Mineral Fire,2016-08-09,2016,Fresno,7050.0,08/18/16 7:00 PM,08/09/16 1:08 PM,08/18/16 7:00PM,Under Investigation,2,0,36.09974,-120.51057
Kugelman Fire,2016-08-09,2016,Lake,45.0,08/10/16 5:00 PM,08/09/16 5:30 PM,08/10/16 5:00PM,Unknown,0,0,36.09974,-120.51057
Knoxville Fire,2016-08-09,2016,Lake,36.0,08/10/16 5:00 PM,08/09/16 6:50 PM,08/10/16 5:00PM,Unknown,0,0,38.68403,-122.26015
Gopher Fire,2016-08-10,2016,San Diego,35.0,08/11/16 6:30 PM,08/10/16 9:14 AM,08/11/16 6:30PM,Unknown,0,0,33.22558,-117.14547
Stafford Fire,2016-08-11,2016,Humboldt,23.0,08/16/16 8:45 AM,08/11/16 2:57 PM,08/16/16 8:45AM,Unknown,0,0,40.4572,-124.05804
Oak Fire,2016-08-12,2016,Santa Clara,25.0,08/14/16 7:50 PM,08/12/16 4:00 PM,08/14/16 7:50PM,Unknown,0,0,37.06531,-121.68577
Summit Fire,2016-08-12,2016,Humboldt,21.0,08/19/16 8:30 AM,08/12/16 5:23 PM,08/19/16 8:30AM,Unknown,0,0,40.9878,-123.77832
Chimney Fire,2016-08-13,2016,San Luis Obispo,46344.0,09/06/16 7:30 AM,08/13/16 4:03 PM,09/06/16 7:30AM,Under Investigation,70,0,35.70595,-120.98316
Clayton Fire,2016-08-13,2016,Lake,3929.0,08/26/16 6:00 PM,08/13/16 6:03 PM,08/26/16 6:00PM,Arson,300,0,38.89741,-122.60664
Blue Cut Fire,2016-08-16,2016,San Bernardino,36274.0,08/23/16 7:45 AM,08/16/16 10:44 AM,08/23/16 7:45AM,Unknown,321,0,34.30372,-117.49342
Cedar Fire,2016-08-16,2016,Kern,29322.0,10/01/16 6:00 AM,08/16/16 4:35 PM,10/01/16 6:00AM,Unknown,0,0,35.7506,-118.5678
Bailey Fire,2016-08-17,2016,Santa Clara,100.0,08/18/16 7:50 PM,08/17/16 3:19 PM,08/18/16 7:50PM,Unknown,0,0,,
Mokelumne Fire,2016-08-18,2016,Alpine,,08/30/16 12:05 PM,08/18/16 12:05 PM,08/30/16 12:05PM,Unknown,0,0,38.57554,-120.00606
Beale Fire,2016-08-18,2016,Yuba,400.0,08/18/16 9:30 PM,08/18/16 3:35 PM,08/18/16 9:30PM,Unknown,0,0,36.16965,-121.38775
Rey Fire,2016-08-18,2016,Santa Barbara,32606.0,09/15/16 3:20 PM,08/18/16 5:57 PM,09/15/16 3:20PM,Unknown,0,0,,
Bird Fire,2016-08-20,2016,San Joaquin,147.0,08/20/16 6:45 PM,08/20/16 8:35 AM,08/20/16 6:45PM,Unknown,0,0,37.62215,-121.36665
Tully Fire,2016-08-22,2016,Humboldt,599.0,09/04/16 6:55 AM,08/22/16 4:03 PM,09/04/16 6:55AM,Arson,3,0,41.28486,-123.82268
Tule Fire,2016-08-22,2016,Tulare,395.0,11/08/16 10:15 AM,08/22/16 10:00 PM,11/08/16 10:15AM,Unknown,0,0,36.1648,-118.73906
Grade Fire,2016-08-24,2016,Siskiyou,710.0,08/30/16 6:45 AM,08/24/16 2:55 PM,08/30/16 6:45AM,Electrical,5,0,41.7813,-122.611
Range Fire,2016-08-26,2016,Kern,518.0,08/29/16 10:30 AM,08/26/16 10:10 AM,08/29/16 10:30AM,Unknown,0,0,35.2013,-118.7212
Santos Fire,2016-08-26,2016,Butte,88.0,08/30/16 6:40 PM,08/26/16 3:30 PM,08/30/16 6:40PM,Unknown,0,0,39.79547,-121.71662
Gap Fire,2016-08-27,2016,Siskiyou,33867.0,08/28/16 6:15 PM,08/27/16 6:00 PM,08/28/16 6:15PM,Unknown,0,0,41.851,-123.118
Willow Fire,2016-08-28,2016,Calaveras,450.0,08/31/16 6:50 PM,08/28/16 1:07 PM,08/31/16 6:50PM,Vehicle,0,0,38.1874,-120.6381
Evergreen Fire,2016-08-28,2016,Riverside,40.0,08/29/16 3:00 PM,08/28/16 3:23 PM,08/29/16 3:00PM,Unknown,0,0,,
Havilah Fire,2016-08-28,2016,Kern,304.0,08/28/16 6:50 PM,08/28/16 6:50 PM,08/28/16 6:50PM,Unknown,0,0,35.4976,-118.5097
Bogart Fire,2016-08-30,2016,Riverside,1470.0,09/02/16 6:10 PM,08/30/16 12:25 PM,09/02/16 6:10PM,Unknown,0,0,,
Mina Fire,2016-08-30,2016,Mendocino,36.0,08/31/16 7:15 AM,08/30/16 1:35 PM,08/31/16 7:15AM,Unknown,0,0,39.8748511,-123.4267011
Willow Fire,2016-08-30,2016,Amador,19.0,08/31/16 7:05 AM,08/30/16 4:52 PM,08/31/16 7:05AM,Unknown,0,0,,
Mockingbird Fire,2016-08-30,2016,Lake,20.0,08/31/16 7:05 AM,08/30/16 4:54 PM,08/31/16 7:05AM,Unknown,0,0,39.1408865,-122.9148951
Holy Fire,2016-08-30,2016,Orange,150.0,09/05/16 6:55 AM,08/31/16 4:10 AM,09/05/16 6:55AM,Unknown,0,0,33.6542,-117.5221
Oak Fire,2016-09-01,2016,Santa Clara,25.0,09/02/16 6:55 AM,09/01/16 2:36 PM,09/02/16 6:55AM,Unknown,0,0,37.11831,-121.69784
Sunny Fire,2016-09-03,2016,Fresno,158.0,09/06/16 6:15 PM,09/03/16 2:44 PM,09/06/16 6:15PM,Unknown,0,0,36.84479,-119.34487
Ken Fire,2016-09-03,2016,San Bernardino,20.0,09/04/16 6:55 PM,09/03/16 9:51 PM,09/04/16 6:55PM,Unknown,0,0,34.25858,-117.4415
Saddle Fire,2016-09-05,2016,Butte,850.0,09/12/16 2:51 PM,09/05/16 4:28 PM,09/12/16 2:51PM,Vehicle,3,0,39.6871,-121.571
Phoenix Fire,2016-09-07,2016,Nevada,38.0,12/31/69 4:00 PM,09/07/16 3:09 PM,12/31/69 4:00PM,Unknown,0,0,39.39051,-120.51887
Spring Fire,2016-09-07,2016,San Bernardino,50.0,09/09/16 6:00 AM,09/07/16 4:53 PM,09/09/16 6:00AM,Unknown,0,0,34.3183,-117.3189
Ruff Fire,2016-09-10,2016,Mendocino,50.0,09/15/16 9:10 AM,09/10/16 2:06 PM,09/15/16 9:10AM,Unknown,0,0,39.7299,-123.5044
Lake Fire,2016-09-10,2016,Shasta,75.0,09/12/16 7:00 PM,09/10/16 3:45 PM,09/12/16 7:00PM,Unknown,0,0,40.68192,-122.4096
Boys Fire,2016-09-11,2016,Sacramento,40.0,09/12/16 7:00 PM,09/11/16 11:25 AM,09/12/16 7:00PM,Unknown,0,0,38.558,-121.1309
Willard Fire,2016-09-11,2016,Lassen,2575.0,09/22/16 7:00 AM,09/11/16 11:33 AM,09/22/16 7:00AM,Unknown,7,0,40.3915,-120.7845
Howard Fire,2016-09-11,2016,Modoc,380.0,09/14/16 6:00 PM,09/11/16 2:15 PM,09/14/16 6:00PM,Unknown,0,0,41.4657,-120.9066
Moffett Fire,2016-09-12,2016,Siskiyou,32.0,09/13/16 6:30 PM,09/12/16 4:28 PM,09/13/16 6:30PM,Unknown,0,0,41.6314,-122.7933
Old Fire,2016-09-13,2016,Del Norte,150.0,09/19/16 6:30 PM,09/16/16 11:28 PM,09/19/16 6:30PM,Unknown,0,0,39.8851,-121.6998
Hog Fire,2016-09-13,2016,Tehama,360.0,09/13/16 2:30 PM,09/13/16 11:10 PM,09/13/16 2:30PM,Under Investigation,0,0,40.30594,-122.1295
Old Fire,2016-09-16,2016,Butte,30.0,09/19/16 6:30 PM,09/16/16 11:28 PM,09/19/16 6:30PM,Unknown,0,0,39.8851,-121.6998
Auburn Fire,2016-09-17,2016,Nevada,47.0,09/20/16 6:00 PM,09/17/16 1:40 PM,09/20/16 6:00PM,Unknown,0,0,39.20427,-121.05948
Owens River Fire,2016-09-17,2016,Inyo,5443.0,09/18/16 8:10 AM,09/17/16 1:49 PM,09/18/16 8:10AM,Unknown,0,0,37.75985,-118.95309
Soup Complex,2016-09-17,2016,Modoc,2652.0,10/13/16 11:30 AM,09/17/16 2:37 PM,10/13/16 11:30AM,Unknown,0,0,41.2649,-120.3178
Canyon Fire,2016-09-17,2016,Santa Barbara,12518.0,09/27/16 2:00 PM,09/17/16 5:20 PM,09/27/16 2:00PM,Unknown,0,0,34.63445,-120.54421
Flat Fire,2016-09-19,2016,Kern,306.0,09/21/16 9:30 AM,09/19/16 2:13 PM,09/21/16 9:30AM,Unknown,0,0,,
Butte Fire,2016-09-20,2016,Sutter,300.0,09/20/16 6:00 PM,09/20/16 9:30 AM,09/20/16 6:00PM,Unknown,0,0,39.188321,-121.78003
Bangor Fire,2016-09-22,2016,Butte,130.0,09/23/16 10:30 AM,09/22/16 11:45 AM,09/23/16 10:30AM,Unknown,0,0,39.4403,-121.42647
Washington Fire,2016-09-22,2016,Santa Barbara,215.0,09/27/16 2:00 PM,09/22/16 2:20 PM,09/27/16 2:00PM,Unknown,0,0,34.75134,-120.55297
Newmark Fire,2016-09-23,2016,Fresno,70.0,09/24/16 8:00 PM,09/23/16 12:40 PM,09/24/16 8:00PM,Unknown,0,0,36.6543,-119.5327
Bell Fire,2016-09-23,2016,Amador,45.0,09/25/16 5:45 PM,09/23/16 1:12 PM,09/25/16 5:45PM,Under Investigation,0,0,38.5212,-120.8416
Cow Fire,2016-09-25,2016,Shasta,100.0,09/25/16 1:15 PM,09/25/16 7:15 AM,09/25/16 1:15PM,Unknown,0,0,40.0,-121.93923
Sawmill Fire,2016-09-25,2016,Sonoma,1547.0,09/29/16 5:00 PM,09/25/16 10:43 AM,09/29/16 5:00PM,Under Investigation,0,0,38.80017,-122.82895
Marshes Fire,2016-09-26,2016,Tuolumne,1080.0,10/04/16 10:00 PM,09/26/16 12:20 PM,10/04/16 10:00PM,Vehicle,0,0,37.79635,-120.32484
Tobin Fire,2016-09-26,2016,Plumas,248.0,10/06/16 5:15 PM,09/26/16 1:23 PM,10/06/16 5:15PM,Unknown,0,0,39.92,-121.32
Loma Fire,2016-09-26,2016,Santa Clara,4474.0,09/19/17 10:30 AM,09/26/16 2:42 PM,09/19/17 10:30AM,Under Investigation,28,0,37.10632,-121.85318
Creek Fire,2016-10-10,2016,Napa,65.0,10/12/16 6:00 PM,10/10/16 4:13 PM,10/12/16 6:00PM,Under Investigation,0,0,38.40958,-122.43172
Sacata Fire,2016-10-11,2016,Fresno,2100.0,10/20/16 7:00 AM,10/11/16 12:58 PM,10/20/16 7:00AM,Unknown,0,0,36.94536,-119.25959
Emerald Fire,2016-10-13,2016,El Dorado,176.0,10/17/16 11:45 AM,10/14/16 1:28 AM,10/17/16 11:45AM,Under Investigation,0,0,38.93449,-120.10744
Jacobson Fire,2016-10-20,2016,Tulare,10.0,12/19/16 1:30 PM,10/20/16 5:00 PM,12/19/16 1:30PM,Unknown,0,0,36.217,-118.551
Meadow Fire,2016-10-29,2016,Tulare,4347.0,12/19/16 1:30 PM,10/29/16 11:15 AM,12/19/16 1:30PM,Unknown,0,0,35.984,-118.551
Gopher Fire,2016-11-13,2016,San Diego,28.0,11/14/16 6:00 PM,11/13/16 11:14 AM,11/14/16 6:00PM,Unknown,0,0,33.254355,-117.158475
Marek Fire,2016-11-13,2016,Los Angeles,4824.0,11/14/16 2:00 PM,11/14/16 5:45 AM,11/14/16 2:00PM,Unknown,0,0,34.31,-118.335
Oroville Spillway,2017-02-07,2017,Butte,,01/09/18 9:24 AM,02/07/17 2:00 PM,01/09/18 9:24AM,Unknown,0,0,39.51158,-121.55633
Grace Fire,2017-04-03,2017,Shasta,45.0,01/09/18 9:41 AM,04/03/17 4:00 PM,01/09/18 9:41AM,Unknown,0,0,40.48712,-121.85645
West Fire,2017-04-03,2017,Modoc,380.0,01/09/18 9:40 AM,04/03/17 4:00 PM,01/09/18 9:40AM,Unknown,0,0,41.16716,-120.58342
66 Fire,2017-04-12,2017,Riverside,15.0,01/09/18 9:50 AM,04/13/17 2:30 AM,01/09/18 9:50AM,Unknown,0,0,33.56777,-116.08003
Jayne Fire,2017-04-20,2017,Fresno,5738.0,01/09/18 9:51 AM,04/20/17 3:40 PM,01/09/18 9:51AM,Unknown,0,0,36.07228,-120.26561
Soledad Fire,2017-04-24,2017,Monterey,10.0,01/09/18 9:51 AM,04/24/17 12:06 PM,01/09/18 9:51AM,Unknown,0,0,36.44141,-121.34695
El Dorado Fire,2017-04-28,2017,Fresno,976.0,01/09/18 9:52 AM,04/28/17 3:40 PM,01/09/18 9:52AM,Unknown,0,0,36.530836,-120.206592
Tumey Fire,2017-04-29,2017,Fresno,126.0,01/09/18 9:52 AM,04/29/17 5:15 PM,01/09/18 9:52AM,Unknown,0,0,36.5355,-120.6585
Opera Fire,2017-04-30,2017,Riverside,1350.0,01/09/18 9:53 AM,04/30/17 3:23 PM,01/09/18 9:53AM,Unknown,0,0,34.00566,-117.30693
Tower Fire,2017-04-30,2017,San Bernardino,150.0,01/09/18 9:53 AM,04/30/17 4:03 PM,01/09/18 9:53AM,Unknown,0,0,34.30104,-117.45646
Jameson Fire,2017-04-30,2017,Riverside,12.0,01/09/18 9:54 AM,04/30/17 7:43 PM,01/09/18 9:54AM,Unknown,0,0,33.7866,-117.5048
Fay Fire,2017-05-01,2017,Kern,19.0,01/09/18 9:54 AM,05/01/17 12:44 PM,01/09/18 9:54AM,Unknown,0,0,35.71704,-118.30601
Olive Fire,2017-05-02,2017,San Luis Obispo,130.0,01/09/18 9:54 AM,05/02/17 2:32 PM,01/09/18 9:54AM,Unknown,0,0,35.78286,-120.22647
Shandon Fire,2017-05-07,2017,San Luis Obispo,12.0,01/09/18 9:55 AM,05/07/17 4:41 PM,01/09/18 9:55AM,Unknown,0,0,35.6879,-120.3317
Sonoma Fire,2017-05-10,2017,Fresno,400.0,01/09/18 9:55 AM,05/10/17 3:27 PM,01/09/18 9:55AM,Unknown,0,0,36.45491,-120.2445
Hub Fire,2017-05-11,2017,Kern,31.0,01/09/18 9:55 AM,05/12/17 5:05 AM,01/09/18 9:55AM,Unknown,0,0,35.60001,-118.4683
Wright Fire,2017-05-12,2017,Merced,1800.0,01/09/18 9:56 AM,05/12/17 3:30 PM,01/09/18 9:56AM,Unknown,0,0,36.96655,-120.89261
Nacimiento Fire,2017-05-14,2017,Monterey,20.0,01/09/18 9:56 AM,05/14/17 12:00 PM,01/09/18 9:56AM,Unknown,0,0,35.77082,-120.92482
Canyon Fire,2017-05-14,2017,Riverside,17.0,01/09/18 9:56 AM,05/14/17 12:51 PM,01/09/18 9:56AM,Unknown,0,0,33.88466,-116.99229
Feed Fire,2017-05-14,2017,Kern,41.0,01/09/18 9:57 AM,05/14/17 2:00 PM,01/09/18 9:57AM,Unknown,0,0,35.05076,-118.90004
Arrow Fire,2017-05-15,2017,San Luis Obispo,225.0,01/09/18 9:57 AM,05/15/17 1:58 PM,01/09/18 9:57AM,Unknown,0,0,35.21177,-119.87525
Bravo Fire,2017-05-15,2017,Kern,288.0,01/09/18 9:58 AM,05/15/17 2:05 PM,01/09/18 9:58AM,Unknown,0,0,35.41283,-118.84466
Pine Fire,2017-05-16,2017,Monterey,18.0,01/09/18 9:58 AM,05/16/17 4:10 PM,01/09/18 9:58AM,Unknown,0,0,36.1727,-120.86682
Lonoak Fire,2017-05-17,2017,Monterey,17.0,01/09/18 9:59 AM,05/17/17 3:18 PM,01/09/18 9:59AM,Bird into Power Line,0,0,36.2771,-120.94328
41 Fire,2017-05-17,2017,Madera,150.0,01/09/18 10:01 AM,05/17/17 3:30 PM,01/09/18 10:01AM,Unknown,0,0,36.90967,-119.79315
Camp Fire,2017-05-18,2017,San Luis Obispo,225.0,01/09/18 10:03 AM,05/18/17 8:48 AM,01/09/18 10:03AM,Unknown,0,0,35.34541,-120.76464
City Fire,2017-05-18,2017,Kings,20.0,01/09/18 10:04 AM,05/18/17 12:54 PM,01/09/18 10:04AM,Unknown,0,0,35.983,-119.91508
Elm Fire,2017-05-18,2017,Fresno,10343.0,01/09/18 10:04 AM,05/18/17 1:11 PM,01/09/18 10:04AM,Under Investigation,0,0,36.12089,-120.37116
Moraga Fire,2017-05-18,2017,Riverside,14.0,01/09/18 10:05 AM,05/18/17 5:25 PM,01/09/18 10:05AM,Unknown,0,0,33.97155,-117.44148
Range Fire,2017-05-19,2017,San Luis Obispo,,01/09/18 10:05 AM,05/19/17 1:10 PM,01/09/18 10:05AM,Unknown,0,0,35.85253,-120.80411
Deluz Fire,2017-05-19,2017,San Diego,486.0,01/09/18 10:06 AM,05/19/17 2:45 PM,01/09/18 10:06AM,Unknown,0,0,33.3906,-117.32348
Manning Fire,2017-05-19,2017,Fresno,70.0,01/09/18 10:05 AM,05/19/17 11:28 PM,01/09/18 10:05AM,Unknown,0,0,36.60736,-120.5828
Rocky Fire,2017-05-20,2017,San Luis Obispo,17.0,01/09/18 10:06 AM,05/20/17 1:11 PM,01/09/18 10:06AM,Unknown,0,0,35.556667,-120.474
Ming Fire,2017-05-20,2017,Kern,506.0,01/09/18 10:07 AM,05/20/17 2:23 PM,01/09/18 10:07AM,Unknown,0,0,35.4605,-118.85896
Wasioja Fire,2017-05-20,2017,Santa Barbara,190.0,01/09/18 10:07 AM,05/20/17 5:54 PM,01/09/18 10:07AM,Unknown,0,0,34.9465,-119.8036
Gate Fire,2017-05-20,2017,San Diego,2056.0,01/09/18 10:06 AM,05/20/17 11:19 PM,01/09/18 10:06AM,Unknown,0,0,32.65597,-116.80527
Smiley Fire,2017-05-21,2017,Riverside,35.0,01/09/18 10:07 AM,05/21/17 4:12 PM,01/09/18 10:07AM,Unknown,0,0,33.96419,-117.20507
Bitterwater Fire,2017-05-21,2017,San Benito,21.0,01/09/18 10:07 AM,05/22/17 4:50 AM,01/09/18 10:07AM,Unknown,0,0,36.35578,-120.99552
Moreno Fire,2017-05-23,2017,Riverside,10.0,06/04/21 10:48 AM,05/23/17 1:13 PM,01/09/18 10:08AM,Unknown,0,0,33.94673,-117.17773
Ribbonwood Fire,2017-05-24,2017,San Diego,25.0,01/09/18 10:10 AM,05/24/17 3:30 PM,01/09/18 10:10AM,Unknown,0,0,32.679,-116.29296
Lamb Fire,2017-05-25,2017,Riverside,120.0,01/09/18 10:16 AM,05/25/17 2:48 PM,01/09/18 10:16AM,Unknown,0,0,33.88287,-116.99651
